Aircraft TypeDesignator,Class,Number+Engine Type,"MANUFACTURER, Model"
GSPN,LandPlane,2/Jet,"GROB, G-180 SPn Utility Jet"
GUEP,LandPlane,1/Piston,"AERO SERVICES, Guepard"
GURI,LandPlane,1/Piston,"AEROMOT, AMT-600 Guri"
GX,LandPlane,1/Piston,"STEMME, Remos GX"
GY10,LandPlane,1/Piston,"GARDAN, GY-100 Bagheera"
GY20,LandPlane,1/Piston,"CAB, GY-20 Minicab"
GY30,LandPlane,1/Piston,"CAB, GY-30 Supercab"
GY80,LandPlane,1/Piston,"SOCATA, GY-80 Horizon"
H111,LandPlane,2/Piston,"HEINKEL, He-111"
H12T,Helicopter,1/Turboprop/Turboshaft,"HILLER, UH-12E3T"
H160,Helicopter,2/Turboprop/Turboshaft,"AIRBUS HELICOPTERS, H-160"
H2,Helicopter,2/Turboprop/Turboshaft,"KAMAN, SH-2 Seasprite"
H202,LandPlane,1/Piston,"HB-AIRCRAFT, HB-202 Fledger"
H204,LandPlane,1/Piston,"HB-FLUGTECHNIK, HB-204 Tornado"
H207,LandPlane,1/Piston,"HB-FLUGTECHNIK, HB-207 Alfa"
H21,Helicopter,1/Piston,"VERTOL, CH-21 Work horse"
H25A,LandPlane,2/Jet,"HAWKER SIDDELEY, HS-125-1"
H25B,LandPlane,2/Jet,"RAYTHEON, Hawker 850"
H25C,LandPlane,2/Jet,"RAYTHEON, Hawker 1000"
H269,Helicopter,1/Piston,"HUGHES, 269 Sky Knight"
H40,LandPlane,1/Piston,"HOFFMANN, H-40"
H43A,Helicopter,1/Piston,"KAMAN, H-43A"
H43B,Helicopter,1/Turboprop/Turboshaft,"KAMAN, H-43B Huskie"
H46,Helicopter,2/Turboprop/Turboshaft,"BOEING VERTOL, CH-46 Sea Knight"
H47,Helicopter,2/Turboprop/Turboshaft,"BOEING VERTOL, CH-47 Chinook"
H500,Helicopter,1/Turboprop/Turboshaft,"HUGHES, 500"
H53,Helicopter,2/Turboprop/Turboshaft,"SIKORSKY, CH-53D Sea Stallion"
H53S,Helicopter,3/Turboprop/Turboshaft,"SIKORSKY, CH-53E Super Stallion"
H60,Helicopter,2/Turboprop/Turboshaft,"SIKORSKY, MH-60 Black Hawk"
H64,Helicopter,2/Turboprop/Turboshaft,"MCDONNELL DOUGLAS, AH-64 Apache"
HA2,Gyrocopter,1/Piston,"HOLLMANN, HA-2 Sportster"
HA31,LandPlane,1/Piston,"HINDUSTAN, HA-31 Basant"
HA4T,LandPlane,2/Jet,"RAYTHEON, Hawker 4000"
HAHU,LandPlane,1/Piston,"SINDLINGER, HH-1 Hawker Hurricane"
HAR,LandPlane,1/Jet,"MCDONNELL DOUGLAS, AV-8 Harrier"
HAW3,Gyrocopter,1/Piston,"GROEN, H2X Hawk 3"
HAWK,LandPlane,1/Jet,"BAE SYSTEMS, Hawk"
HB21,LandPlane,1/Piston,"BRDITSCHKA, HB-21 Hobbylifter"
HB23,LandPlane,1/Piston,"BRDITSCHKA, HB-23 Hobbyliner"
HB3,LandPlane,1/Piston,"BRDITSCHKA, HB-3"
HCAT,LandPlane,1/Piston,"GRUMMAN, F6F Hellcat"
HD34,LandPlane,2/Piston,"HUREL-DUBOIS, HD-34"
HDJT,LandPlane,2/Jet,"HONDA, HA-420 HondaJet"
HEAD,LandPlane,1/Piston,"STEWART (2), JD-1 Headwind"
HERN,LandPlane,4/Piston,"DE HAVILLAND, DH-114 Heron"
HF20,LandPlane,2/Jet,"HFB, HFB-320 Hansa"
HI27,LandPlane,1/Piston,"HIRTH, Hi-27 Acrostar"
HIGH,LandPlane,1/Piston,"JUST, Highlander"
HIND,LandPlane,1/Piston,"HAWKER, Hind"
HL2,LandPlane,1/Piston,"LAMBACH, HL-2 Replica"
HLD4,LandPlane,1/Piston,"HALBERSTADT, D-4 Replica"
HM38,LandPlane,1/Piston,"FALCONAR, HM-380 Ladybug"
HN70,LandPlane,1/Piston,"NICOLLIER, HN-700 Menestrel 2"
HORN,LandPlane,1/Piston,"WALLERKOWSKI, Hornisse"
HORZ,LandPlane,1/Piston,"FISHER AERO, Horizon"
HPTR,Amphibian,1/Piston,"IDEA, Hydropteron"
HPZL,LandPlane,1/Piston,"HISTORICAL AIRCRAFT, PZL P-11C"
HR10,LandPlane,1/Piston,"ROBIN, HR-100 President"
HR20,LandPlane,1/Piston,"ROBIN, HR-200 Acrobin"
HRM9,LandPlane,1/Piston,"ELBIT, Hermes 900"
HRNT,LandPlane,1/Piston,"AAK, Hornet"
HROC,LandPlane,1/Piston,"HARMON (2), Rocket"
HRON,LandPlane,1/Piston,"IAI, Heron"
HRYA,LandPlane,1/Piston,"HISTORICAL AIRCRAFT, Ryan Trainer"
HSMT,Helicopter,1/Piston,"ROTORSMART, HeliSmart"
HT16,LandPlane,1/Jet,"HINDUSTAN, HJT-16 Kiran"
HT2,LandPlane,1/Piston,"HINDUSTAN, HT-2"
HT32,LandPlane,1/Piston,"HINDUSTAN, HPT-32 Deepak"
HT34,LandPlane,1/Turboprop/Turboshaft,"HINDUSTAN, HTT-34"
HT36,LandPlane,1/Jet,"HINDUSTAN, HJT-36 Sitara"
HT40,LandPlane,1/Turboprop/Turboshaft,"HINDUSTAN, HTT-40"
HU1,LandPlane,1/Piston,"SHENYANG SAILPLANE, HU-1 Seagull"
HU2,LandPlane,1/Piston,"SHENYANG SAILPLANE, HU-2 Petrel"
HUCO,Helicopter,1/Turboprop/Turboshaft,"BELL, AH-1S HueyCobra"
HUML,LandPlane,1/Piston,"HUMMEL, Hummel Bird"
HUMM,LandPlane,1/Piston,"AEROTEK (2), Hummingbird"
HUNT,LandPlane,1/Jet,"HAWKER, Hunter"
HURI,LandPlane,1/Piston,"HAWKER, Hurricane"
HURK,LandPlane,1/Turboprop/Turboshaft,"TAI, TT-32 Hürku?"
HUSK,LandPlane,1/Piston,"AVIAT, A-1 Husky"
HW4P,Gyrocopter,1/Piston,"GROEN, Hawk 4"
HW4T,Gyrocopter,1/Turboprop/Turboshaft,"GROEN, Jet Hawk 4T"
HX2,Helicopter,1/Turboprop/Turboshaft,"HELOWERKS, HX-2 Wasp"
HYPR,LandPlane,1/Piston,"P&M AVIATION, HypR"
I103,LandPlane,1/Piston,"ILYUSHIN, Il-103"
I114,LandPlane,2/Turboprop/Turboshaft,"ILYUSHIN, Il-114"
I115,LandPlane,1/Piston,"AISA, I-115"
I11B,LandPlane,1/Piston,"AISA, I-11B Peque"
I153,LandPlane,1/Piston,"POLIKARPOV, I-153"
I15B,LandPlane,1/Piston,"POLIKARPOV, I-15bis"
I16,LandPlane,1/Piston,"POLIKARPOV, I-16"
I22,LandPlane,1/Jet,"PZL-MIELEC, I-22 Iryda"
I23,LandPlane,1/Piston,"PZL-SWIDNIK, I-23 Manager"
I3,LandPlane,1/Piston,"INTERAVIA, I-3"
I66,LandPlane,1/Piston,"IANNOTTA, I-66 San Francisco"
IA46,LandPlane,1/Piston,"DINFIA, IA-46 Ranquel"
IA50,LandPlane,2/Turboprop/Turboshaft,"DINFIA, IA-50 Guarani 2"
IA51,LandPlane,1/Piston,"DINFIA, IA-51 Tehuelche"
IA58,LandPlane,2/Turboprop/Turboshaft,"FMA, IA-58 Pucará"
IA63,LandPlane,1/Jet,"FMA, IA-63 Pampa"
IFUR,LandPlane,1/Piston,"ISAACS, Fury"
IL14,LandPlane,2/Piston,"ILYUSHIN, Il-14"
IL18,LandPlane,4/Turboprop/Turboshaft,"ILYUSHIN, Il-18 Bizon"
IL28,LandPlane,2/Jet,"ILYUSHIN, Il-28"
IL38,LandPlane,4/Turboprop/Turboshaft,"ILYUSHIN, Il-38"
IL62,LandPlane,4/Jet,"ILYUSHIN, Il-62"
IL76,LandPlane,4/Jet,"ILYUSHIN, Il-76"
IL86,LandPlane,4/Jet,"ILYUSHIN, Il-86"
IL96,LandPlane,4/Jet,"ILYUSHIN, Il-96"
IMPU,LandPlane,1/Piston,"IMPULSE, Impulse"
INCQ,LandPlane,1/Piston,"INPAER, Conquest"
INEC,LandPlane,1/Piston,"INPAER, Excel"
INEX,LandPlane,1/Piston,"INPAER, Explorer"
ION,LandPlane,1/Piston,"ION, Ion"
IP06,LandPlane,1/Piston,"IPE, IPE-06 Curucaca"
IP10,LandPlane,1/Piston,"IPE, IPE-010"
IP26,LandPlane,1/Piston,"IPAI, IPAI-26 Tuca"
IP6A,LandPlane,1/Piston,"IPE, IPE-06A"
IPAN,LandPlane,1/Piston,"EMBRAER, EMB-202 Ipanema"
IR21,LandPlane,1/Piston,"ICA, IAR-821"
IR22,LandPlane,1/Piston,"ICA, IAR-822"
IR23,LandPlane,1/Piston,"ICA, IAR-823"
IR24,LandPlane,1/Piston,"ICA, IAR-824"
IR25,LandPlane,1/Turboprop/Turboshaft,"ICA, IAR-825TP Triumf"
IR27,LandPlane,1/Piston,"ICA, IAR-827 Dacic"
IR28,LandPlane,1/Piston,"ICA, IAR-28MA"
IR31,LandPlane,1/Piston,"ICA, IAR-831 Pelican"
IR46,LandPlane,1/Piston,"IAR, IAR-46 Katty"
IR99,LandPlane,1/Jet,"AVIOANE, IAR-99 Soim"
IS2,Helicopter,1/Piston,"INSTYTUT LOTNICTWA, IS-2"
IS28,LandPlane,1/Piston,"IAR, IS-28M2"
ISAT,LandPlane,1/Piston,"AEROJAMES, 01 Isatis"
ISPT,LandPlane,1/Piston,"ISAACS, Spitfire"
J1,LandPlane,1/Piston,"AUSTER, J-1 Aiglet"
J10,LandPlane,1/Jet,"CHENGDU, J-10"
J177,LandPlane,1/Piston,"AERODYNOS, JA-177 Evolution"
J2,LandPlane,1/Piston,"PIPER, J-2 Cub"
J20,LandPlane,2/Jet,"CHENGDU, J-20"
J3,LandPlane,1/Piston,"PIPER, J-3 Cub"
J300,LandPlane,1/Piston,"SAUPER, J-300 Joker"
J328,LandPlane,2/Jet,"FAIRCHILD DORNIER, 328JET"
J4,LandPlane,1/Piston,"PIPER, J-4 Cub Coupe"
J40E,LandPlane,1/Electric,"ZALL JIHLAVAN, JA-400 Skyleader 400 Electric"
J400,LandPlane,1/Piston,"JIHLAVAN JA-400 Skyleader 400"
J5,LandPlane,1/Piston,"PIPER, J-5 Cub Cruiser"
J600,Landplace,1/Piston,"JIHLAVAN, JA-600 Skyleader 600"
J8A,LandPlane,2/Jet,"SHENYANG, J-8A"
J8B,LandPlane,2/Jet,"SHENYANG, J-8B"
JAB2,LandPlane,1/Piston,"JABIRU, Jabiru J160"
JAB4,LandPlane,1/Piston,"JABIRU, Jabiru J400"
JABI,LandPlane,1/Piston,"JABIRU, Jabiru J120"
JACE,LandPlane,1/Piston,"ACRO SPORT, Junior Ace"
JAG2,Helicopter,1/Turboprop/Turboshaft,"JAG HELICOPTER, JAG"
JAGR,LandPlane,2/Jet,"SEPECAT, Jaguar"
JAJ5,LandPlane,1/Piston,"JANOWSKI, J-5 Marco"
JAJ6,LandPlane,1/Piston,"J & AS, J-6 Fregata"
JANU,LandPlane,1/Piston,"SCHEMPP-HIRTH, Janus BM"
JARO,LandPlane,1/Piston,"JACKAROO, Thruxton Jackaroo"
JAST,LandPlane,1/Jet,"SOKO, J-21 Jastreb"
JB1,Amphibian,1/Piston,"INDEPENDENT, X-JB-1 SeaDragon"
JB15,LandPlane,1/Piston,"OBERLERCHNER, JOB-15"
JC01,LandPlane,1/Piston,"COUPE, JC-01"
JC02,LandPlane,1/Piston,"COUPE, JC-02"
JCOM,LandPlane,2/Jet,"AERO COMMANDER, 1121 Jet Commander"
JCRU,LandPlane,1/Turboprop/Turboshaft,"AASI, Jetcruzer"
JD2,LandPlane,1/Piston,"DYKE, JD-2 Delta"
JDOE,LandPlane,1/Piston,"AMERICAN HOMEBUILTS, John Doe"
JE2,Gyrocopter,1/Piston,"EICH, JE-2 Gyroplane"
JFOX,LandPlane,1/Piston,"EUROALA, Jet Fox"
JH7,LandPlane,2/Jet,"XIAN, JH-7"
JK05,LandPlane,1/Piston,"EKOLOT, JK-05 Beetle"
JL9,LandPlane,1/Jet,"GUIZHOU, JL-9 Shanying"
JN76,LandPlane,1/Piston,"CAUDRON, JN-760 Cyclone Replica"
JPM1,LandPlane,1/Piston,"MARIE, JPM-01 Medoc"
JPRO,LandPlane,1/Jet,"BAC, 145 Jet Provost"
JRC1,LandPlane,1/Piston,"CHALARD, JRC-01 Julcar"
JRO,Gyrocopter,1/Piston,"DTA, J-RO"
JS1,LandPlane,2/Turboprop/Turboshaft,"JETSTREAM, Jetstream 1"
JS20,LandPlane,2/Turboprop/Turboshaft,"JETSTREAM, Jetstream 200"
JS3,LandPlane,2/Turboprop/Turboshaft,"CENTURY, Jetstream 3"
JS3E,LandPlane,1/Jet,"JONKER, JS-3 Rapture (jet)"
JS3J,LandPlane,1/Electric,"JONKER, JS-3 Rapture (electric)"
JS31,LandPlane,2/Turboprop/Turboshaft,"BRITISH AEROSPACE, Jetstream 31"
JS32,LandPlane,2/Turboprop/Turboshaft,"BRITISH AEROSPACE, Jetstream Super 31"
JS41,LandPlane,2/Turboprop/Turboshaft,"BRITISH AEROSPACE, Jetstream 41"
JSQA,LandPlane,1/Jet,"PROMAVIA, F-1300 Jet Squalus"
JSX,LandPlane,1/Jet,"SONEX, JSX SubSonex"
JT2,LandPlane,1/Piston,"TAYLOR (4), JT-2 Titch"
JU52,LandPlane,3/Piston,"JUNKERS, Ju-52/3m"
`JUN1`,LandPlane,1/Piston,"KAMINSKAS, RK-1 Jungster 1"
`JUN2`,LandPlane,1/Piston,"KAMINSKAS, RK-2 Jungster 2"
JUNR,LandPlane,1/Piston,"BOLKOW, BO-208 Junior"
JUPI,LandPlane,1/Piston,"LAMMER GEYER, Jupiter"
K100,LandPlane,1/Turboprop/Turboshaft,"DAHER, Kodiak 100"
K126,Helicopter,1/Turboprop/Turboshaft,"KAMOV, Ka-126"
K209,Helicopter,1/Turboprop/Turboshaft,"FAMA, K-209 KISS"
K226,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-226 Sergei"
K250,LandPlane,1/Piston,"KESTREL (1), K-250"
K35E,LandPlane,4/Jet,"BOEING, KC-135E Stratotanker"
K35R,LandPlane,4/Jet,"BOEING, KC-135R Stratotanker"
K50,LandPlane,1/Jet,"KOREA AEROSPACE, A-50 Golden Eagle"
K51,LandPlane,1/Piston,"KOVACS, K-51 Peregrino"
K8,LandPlane,1/Jet,"HONGDU, K-8 Karakorum"
KA25,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-25"
KA26,Helicopter,2/Piston,"KAMOV, Ka-26"
KA27,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-27"
KA50,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-50 Werewolf"
KA52,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-52 Alligator"
KA62,Helicopter,2/Turboprop/Turboshaft,"KAMOV, Ka-60 Kasatka"
KAFI,LandPlane,1/Piston,"KARI, Firefly"
KAK1,LandPlane,1/Piston,"KIEGER, AK-1"
KAK3,LandPlane,1/Piston,"KIEGER, AK-3"
KAT3,LandPlane,1/Turboprop/Turboshaft,"KHRUNICHEV, AT-3"
KATB,LandPlane,2/Piston,"KARI, Twinbee"
KATR,LandPlane,1/Piston,"AEROSAMARA, Katran"
KC2,LandPlane,2/Jet,"KAWASAKI, C-2"
KE3,LandPlane,4/Jet,"BOEING, KE-3"
KELA,LandPlane,1/Piston,"KELEHER, Lark"
KELD,LandPlane,1/Piston,"KELLY, D"
KERO,LandPlane,1/Piston,"REARWIN, 2000 Ken-Royce"
KEST,LandPlane,1/Turboprop/Turboshaft,"FARNBOROUGH, F-1 Kestrel"
KFAB,LandPlane,1/Piston,"KITPLANES FOR AFRICA, Bushbaby"
KFAS,LandPlane,1/Piston,"KITPLANES FOR AFRICA, Safari"
KFIR,LandPlane,1/Jet,"IAI, Kfir"
KFIS,Amphibian,1/Piston,"ANDERSON, EA-1 Kingfisher"
KH4,Helicopter,1/Piston,"KAWASAKI, KH-4"
KIS2,LandPlane,1/Piston,"TRI-R, KIS TR-1"
KIS4,LandPlane,1/Piston,"TRI-R, KIS TR-4 Cruiser"
KITH,LandPlane,1/Piston,"BOURDON, Kitty Hawk"
KITI,LandPlane,1/Piston,"MITCHELL-PROCTER, Kittiwake"
KIWI,LandPlane,1/Piston,"VALENTIN, Kiwi"
KK60,LandPlane,1/Piston,"KARI-KEEN, 60 Coupe"
KL07,LandPlane,1/Piston,"KLEMM, Kl-107"
KL10,LandPlane,1/Piston,"FLIGHT DESIGN-VESSEL, KLA-100"
KL25,LandPlane,1/Piston,"KLEMM, L-25"
KL35,LandPlane,1/Piston,"KLEMM, Kl-35"
KLBR,LandPlane,1/Piston,"KOLB, King Colbra"
KM2,LandPlane,1/Piston,"FUJI, KM-2"
KMAX,Helicopter,1/Turboprop/Turboshaft,"KAMAN, K-1200 K-Max"
KNTW,LandPlane,1/Piston,"PAYNE, Knight Twister"
KOLL,LandPlane,1/Piston,"KOLB, Laser"
KP2,LandPlane,1/Piston,"JIHLAVAN, KP-2 Rapid 200"
KP5,LandPlane,1/Piston,"JIHLAVAN, KP-5 Rapid 500"
KR1,LandPlane,1/Piston,"RAND, KR-1"
KR2,LandPlane,1/Piston,"RAND, KR-2"
KR21,LandPlane,1/Piston,"FAIRCHILD (1), KR-21"
KR30,LandPlane,1/Piston,"EKOLOT, KR-030 Topaz"
KR31,LandPlane,1/Piston,"KREIDER-REISNER, C-2 Challenger"
KR34,LandPlane,1/Piston,"KREIDER-REISNER, C-4 Challenger"
KRAG,LandPlane,1/Piston,"SOKO, P-2 Kraguj"
KRAH,LandPlane,1/Piston,"ROCK, Krähe"
KRIC,LandPlane,1/Piston,"FLSZ, DK-1 Der Kricket"
KSTK,LandPlane,2/Piston,"PHOENIX-AVIACOR, M-12 Kasatik"
KT1,LandPlane,1/Turboprop/Turboshaft,"DAEWOO, KT-1 Woong-Bee"
KTOO,LandPlane,1/Piston,"ANGLIN, J-6 Karatoo"
KZ2,LandPlane,1/Piston,"SAI (1), KZ-2 Kupe"
KZ3,LandPlane,1/Piston,"SAI (1), KZ-3"
KZ4,LandPlane,2/Piston,"SAI (1), KZ-4"
KZ7,LandPlane,1/Piston,"SAI (1), KZ-7 Laerke"
KZ8,LandPlane,1/Piston,"SAI (1), KZ-8"
L10,LandPlane,2/Piston,"LOCKHEED, L-10 Electra"
L101,LandPlane,3/Jet,"LOCKHEED, L-1011 TriStar"
L11,LandPlane,1/Piston,"LUSCOMBE, 11A Sedan"
L11E,LandPlane,1/Piston,"LUSCOMBE, 11E Spartan 185"
L12,LandPlane,2/Piston,"LOCKHEED, L-12 Electra Junior"
L13,LandPlane,1/Piston,"LONGREN, L-13 Centaur"
L13M,LandPlane,1/Piston,"LET, L-13 Blanik (single-engine conversions)"
L13S,LandPlane,1/Piston,"AEROTECHNIK, L-13S Vivat"
L14,LandPlane,2/Piston,"LOCKHEED, L-14 Hudson"
L15,LandPlane,2/Jet,"HONGDU, L-15 Lieying"
L159,LandPlane,1/Jet,"AERO (2), L-159  Albatros 2"
L18,LandPlane,2/Piston,"LOCKHEED, L-18 Lodestar"
L181,LandPlane,1/Piston,"ASSOCIATED AIR, Liberty 181"
L188,LandPlane,4/Turboprop/Turboshaft,"LOCKHEED, L-188 Electra"
L200,LandPlane,2/Piston,"LET, L-200 Morava"
L29,LandPlane,1/Jet,"AERO (2), L-29 Delfin"
L29A,LandPlane,4/Jet,"LOCKHEED, L-1329 Jetstar 6"
L29B,LandPlane,4/Jet,"LOCKHEED, L-1329 Jetstar 2"
L37,LandPlane,2/Piston,"LOCKHEED, Ventura"
L380,LandPlane,1/Piston,"LEDERLIN, 380 Ladybug"
L39,LandPlane,1/Jet,"AERO (2), L-39 Albatros"
L4,Amphibian,2/Piston,"CHAIKA, L-4"
L40,LandPlane,1/Piston,"ORLICAN, L-40 Meta Sokol"
L410,LandPlane,2/Turboprop/Turboshaft,"LET, L-410 Turbolet"
L5,LandPlane,1/Piston,"STINSON, L-5 Sentinel"
L59,LandPlane,1/Jet,"AERO (2), L-59"
L6,Amphibian,2/Piston,"AEROVOLGA, L-6"
L60,LandPlane,1/Piston,"AERO (2), L-60 Brigadyr"
L610,LandPlane,2/Turboprop/Turboshaft,"LET, L-610"
L70,LandPlane,1/Piston,"VALMET, L-70 Vinka"
L8,LandPlane,1/Piston,"LUSCOMBE, 8"
L90,LandPlane,1/Turboprop/Turboshaft,"AERMACCHI, M-290TP Redigo"
LA25,Amphibian,1/Piston,"LAKE, LA-250 Renegade"
LA4,Amphibian,1/Piston,"LAKE, LA-4 Buccaneer"
LA60,LandPlane,1/Piston,"AERMACCHI, AL-60"
LA6T,LandPlane,1/Turboprop/Turboshaft,"AERMACCHI, AL-60 Turbine Grizzly"
LA8,Amphibian,2/Piston,"AEROVOLGA, LA-8 Flagman"
LACO,LandPlane,1/Piston,"LAVEN, LACO-125"
LAE1,LandPlane,1/Electric,"LANGE, E-1 Antares 20E"
LAKR,LandPlane,1/Piston,"LASER, Akro Z"
LAKX,LandPlane,1/Piston,"AEROPLASTIKA, LAK-X"
LAMA,Helicopter,1/Turboprop/Turboshaft,"AEROSPATIALE, SA-315 Lama"
LANC,LandPlane,4/Piston,"AVRO, Lancaster"
LAR1,LandPlane,1/Jet,"FLARIS, LAR-1"
LARK,LandPlane,1/Piston,"NORTH AMERICAN ROCKWELL, 100 Lark Commander"
LAST,LandPlane,1/Piston,"UTVA, N-63 Lasta"
LBUG,LandPlane,1/Piston,"REFLEX, Lightning Bug"
LCA,LandPlane,1/Jet,"ADA, LCA Tejas"
LCB,LandPlane,1/Piston,"LAIRD, LC-B Commercial"
LCH,Helicopter,2/Turboprop/Turboshaft,"HINDUSTAN, LCH"
LCR,LandPlane,1/Piston,"LAIRD, LC-R Speedwing"
LEG2,LandPlane,1/Piston,"LANCAIR, Legacy"
LEGD,LandPlane,1/Piston,"PERFORMANCE, Legend"
LEOP,LandPlane,2/Jet,"CHICHESTER-MILES, Leopard"
LESP,LandPlane,1/Piston,"LANCAIR, Lancair ES-P"
LEVI,LandPlane,1/Piston,"TAPANEE, Levitation 4"
LGEZ,LandPlane,1/Piston,"RUTAN, 61 Long-EZ"
LGND,LandPlane,1/Piston,"AEROPILOT, Legend"
LH10,LandPlane,1/Piston,"LH AVIATION, LH-10 Ellipse"
LIBE,LandPlane,1/Piston,"LIBERTY (1), Bellaire"
LION,LandPlane,1/Piston,"GRIFFON, Lionheart"
LJ23,LandPlane,2/Jet,"LEAR JET, 23"
LJ24,LandPlane,2/Jet,"LEAR JET, 24"
LJ25,LandPlane,2/Jet,"LEAR JET, 25"
LJ28,LandPlane,2/Jet,"GATES LEARJET, 28"
LJ31,LandPlane,2/Jet,"LEARJET, 31"
LJ35,LandPlane,2/Jet,"LEARJET, 35"
LJ40,LandPlane,2/Jet,"LEARJET, 40"
LJ45,LandPlane,2/Jet,"LEARJET, 45"
LJ55,LandPlane,2/Jet,"LEARJET, 55"
LJ60,LandPlane,2/Jet,"LEARJET, 60"
LJ70,LandPlane,2/Jet,"LEARJET, 70"
LJ75,LandPlane,2/Jet,"LEARJET, 75"
LJ85,LandPlane,2/Jet,"LEARJET, 85"
LK17,LandPlane,1/Piston,"LAK, LAK-17AT"
LK19,LandPlane,1/Piston,"LAK, LAK-19T"
LK20,LandPlane,1/Piston,"LAK, LAK-20M"
LM5,LandPlane,1/Piston,"LOMBARDI, LM-5 Aviastar"
LM5X,LandPlane,1/Piston,"LIGHT MINIATURE, LM-5 Super Cub"
LM7,LandPlane,1/Piston,"LOMBARDI, LM-7"
LMK1,LandPlane,1/Piston,"CATA, LMK-1 Oryx"
LN27,LandPlane,1/Piston,"FALCOMPOSITE, LN-27 Furio"
LN3,Amphibian,1/Piston,"FLYGFABRIKEN, LN-3 Seagull"
LNC2,LandPlane,1/Piston,"LANCAIR, Lancair 200"
LNC4,LandPlane,1/Piston,"LANCAIR, Lancair 4"
LNCE,LandPlane,1/Piston,"LANCAIR, Lancair ES"
LNP4,LandPlane,1/Turboprop/Turboshaft,"LANCAIR, Lancair PropJet 4"
LNT4,LandPlane,1/Turboprop/Turboshaft,"LANCAIR, Sentry 4T"
LOCA,LandPlane,1/Piston,"AEROLAB, LoCamp"
LOVE,LandPlane,1/Piston,"LOVING-WAYNE, WR-1 Love"
LP1,LandPlane,1/Piston,"LOPRESTI, LP-1 Fury"
LR2T,Helicopter,1/Turboprop/Turboshaft,"LOAD RANGER, 2000"
LS10,LandPlane,1/Piston,"DG FLUGZEUGBAU, LS-10ST"
LS2,LandPlane,1/Piston,"HAT, LS-2"
LS8,LandPlane,1/Piston,"ROLLADEN-SCHNEIDER, LS-8T"
LS9,LandPlane,1/Piston,"ROLLADEN-SCHNEIDER, LS-9"
LSTR,LandPlane,1/Piston,"CUSTOM FLIGHT, Lite Star"
LTNG,LandPlane,2/Jet,"ENGLISH ELECTRIC, Lightning"
LUL5,LandPlane,1/Piston,"LUCAS, L-5"
LUL6,LandPlane,1/Piston,"LUCAS, L-6"
LUL7,LandPlane,1/Piston,"LUCAS, L-7"
LUL8,LandPlane,1/Piston,"LUCAS, L-8"
LV51,LandPlane,1/Piston,"LAVIASA, LAV-51 Master"
LW20,LandPlane,1/Piston,"HOWARD HUGHES, Australian LightWing Speed SP-2000"
LW40,LandPlane,1/Piston,"HOWARD HUGHES, Australian LightWing Speed SP-4000"
LWIN,LandPlane,1/Piston,"HOWARD HUGHES, Australian LightWing   GR-912"
LX32,LandPlane,1/Piston,"LILIENTHAL, X-32 Bekas"
LX34,LandPlane,1/Piston,"LILIENTHAL, X-34 Bekas"
LXR,LandPlane,1/Piston,"ELIXIR, Elixir"
LYNX,Helicopter,2/Turboprop/Turboshaft,"LEONARDO, AW-159 Wildcat"
LYSA,LandPlane,1/Piston,"WESTLAND, Lysander"
M10,LandPlane,1/Piston,"MOONEY, M-10 Cadet"
M101,LandPlane,1/Turboprop/Turboshaft,"MYASISHCHEV, M-101 Expedition"
M106,LandPlane,1/Piston,"LAMBERT, M-106 Mission"
M108,LandPlane,1/Piston,"LAMBERT, M-108 Mission"
M10F,LandPlane,1/Piston,"MOONEY, M-10T"
M10R,LandPlane,1/Piston,"MOONEY, M-10J"
M110,LandPlane,1/Piston,"MONOCOUPE, 110 Special"
M15,LandPlane,1/Jet,"PZL-MIELEC, M-15 Belphegor"
M17,LandPlane,1/Jet,"MYASISHCHEV, M-17 Stratosfera"
M18,LandPlane,1/Piston,"PZL-MIELEC, M-18 Dromader"
M18T,LandPlane,1/Turboprop/Turboshaft,"PZL-MIELEC, M-18 Turbine Dromader"
M2,LandPlane,1/Piston,"KUBICEK, M-2 Scout"
M200,LandPlane,1/Piston,"MEYERS, 200"
M20P,LandPlane,1/Piston,"MOONEY, M-20"
M20T,LandPlane,1/Piston,"MOONEY, M-20M Bravo"
M21,LandPlane,1/Piston,"PZL-MIELEC, M-21 Dromader Mini"
M212,LandPlane,1/Piston,"LAMBERT, M-212 Mission"
M22,LandPlane,1/Piston,"MOONEY, M-22 Mustang"
M24,LandPlane,1/Piston,"PZL-MIELEC, M-24 Dromader Super"
M26,LandPlane,1/Piston,"PZL-MIELEC, M-26 Iskierka"
M28,LandPlane,2/Turboprop/Turboshaft,"PZL-MIELEC, M-28 Skytruck"
M2HK,LandPlane,1/Piston,"MILES, M-2 Hawk Major"
M308,LandPlane,1/Piston,"MACCHI, MB-308"
M326,LandPlane,1/Jet,"AERMACCHI, MB-326"
M339,LandPlane,1/Jet,"AERMACCHI, MB-339"
M345,LandPlane,1/Jet,"SIAI-MARCHETTI, M-345"
M346,LandPlane,1/Jet,"AERMACCHI, M-346 Master"
M360,LandPlane,1/Piston,"AIRCRAFT TECHNOLOGIES, Meyer-360"
